PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"18, 0.7, 0.42, 0.011, vwap, -0.018, -0.023, 0.8, 0.028",COMPLETED,1.7827,"+1,055.57",+105.56%,395.28,28.88%,165,44.24%,1.584,+6.40,+0.64%,21.67,1.783,0.992,18.32%,+131.83,18,0.7,0.42,0.011,vwap,-0.018,-0.023,0.8,0.028,35,
"15, 0.7, 0.49, 0.009, ladder, -0.017, -0.025, 0.7, 0.028",COMPLETED,0.1591,-29.99,-3.00%,335.74,32.86%,115,54.78%,0.980,-0.26,-0.03%,45.09,0.159,0.108,26.27%,+23.27,15,0.7,0.49,0.009,ladder,-0.017,-0.025,0.7,0.028,36,
"20, 0.9, 0.45, 0.011, vwap, -0.019, -0.022, 0.8, 0.029",COMPLETED,0.3895,+77.03,+7.70%,427.42,28.41%,92,41.30%,1.068,+0.84,+0.08%,24.80,0.389,0.171,11.69%,+33.98,20,0.9,0.45,0.011,vwap,-0.019,-0.022,0.8,0.029,37,
"19, 0.6, 0.48, 0.009, combined, -0.02, -0.029, 0.9, 0.024",COMPLETED,2.7395,"+1,789.41",+178.94%,349.99,18.16%,226,41.59%,1.842,+7.92,+0.79%,19.85,2.740,1.848,22.98%,+205.21,19,0.6,0.48,0.009,combined,-0.02,-0.029,0.9,0.024,38,
"16, 0.8, 0.64, 0.008, combined, -0.017, -0.026, 0.9, 0.024",COMPLETED,1.1606,+344.39,+34.44%,334.98,20.40%,130,43.08%,1.344,+2.65,+0.26%,22.04,1.161,0.595,14.67%,+60.71,16,0.8,0.64,0.008,combined,-0.017,-0.026,0.9,0.024,39,
"19, 0.6, 0.48, 0.009, combined, -0.019, -0.023, 0.4, 0.026",COMPLETED,2.6836,"+1,688.62",+168.86%,337.34,18.16%,227,43.61%,1.813,+7.44,+0.74%,19.79,2.684,1.820,22.98%,+195.14,19,0.6,0.48,0.009,combined,-0.019,-0.023,0.4,0.026,40,
"12, 1.1, 0.88, 0.009, combined, -0.018, -0.022, 0.3, 0.026",COMPLETED,1.1594,+310.16,+31.02%,188.43,15.99%,54,46.30%,1.600,+5.74,+0.57%,21.81,1.159,0.386,6.03%,+57.29,12,1.1,0.88,0.009,combined,-0.018,-0.022,0.3,0.026,41,
"19, 0.6, 0.48, 0.008, combined, -0.019, -0.028, 0.4, 0.027",COMPLETED,2.6785,"+1,425.34",+142.53%,270.79,16.28%,227,41.85%,1.812,+6.28,+0.63%,19.79,2.679,1.816,22.98%,+168.81,19,0.6,0.48,0.008,combined,-0.019,-0.028,0.4,0.027,42,
"16, 0.6, 0.48, 0.008, combined, -0.019, -0.028, 0.4, 0.025",COMPLETED,2.2748,"+1,196.79",+119.68%,265.61,20.43%,243,40.74%,1.636,+4.93,+0.49%,19.13,2.275,1.570,23.78%,+145.95,16,0.6,0.48,0.008,combined,-0.019,-0.028,0.4,0.025,43,
"19, 0.9, 0.72, 0.009, combined, -0.016, -0.027, 0.4, 0.027",COMPLETED,1.1269,+310.19,+31.02%,301.68,18.72%,91,45.05%,1.421,+3.41,+0.34%,25.48,1.127,0.511,11.88%,+57.29,19,0.9,0.72,0.009,combined,-0.016,-0.027,0.4,0.027,44,
