entry_time,exit_time,side,quantity,entry_price,exit_price,gross_pnl,commission,net_pnl,entry_order_id,exit_order_id,exit_comment,is_partial_exit,parent_entry_order_id,entry_bar_idx,exit_bar_idx,bars_held
2022-05-06 15:10:00,2022-05-06 15:40:00,short,52.865888,60.61,60.9199,-16.383138691199946,0.0,-16.383138691199946,entry_short_2022-05-06 15:05:00,exit_TimeExitRule_2022-05-06 15:40:00,Time threshold reached,False,,6771,6777,6
2022-05-09 11:30:00,2022-05-09 12:10:00,short,41.971109,57.51,58.099999999999994,-24.762954309999845,0.0,-24.762954309999845,entry_short_2022-05-09 11:25:00,exit_VWAPExitRule_2022-05-09 12:10:00,VWAP Cross Up,False,,6805,6813,8
2022-05-09 13:55:00,2022-05-09 15:40:00,short,58.463781,57.45,57.355,5.554059195000349,0.0,5.554059195000349,entry_short_2022-05-09 13:50:00,exit_TimeExitRule_2022-05-09 15:40:00,Time threshold reached,False,,6834,6855,21
2022-05-10 11:05:00,2022-05-10 12:00:00,short,73.952495,57.71000000000001,57.9,-14.050974049999306,0.0,-14.050974049999306,entry_short_2022-05-10 11:00:00,exit_VWAPExitRule_2022-05-10 12:00:00,VWAP Cross Up,False,,6878,6889,11
2022-05-10 14:00:00,2022-05-10 15:40:00,long,84.394005,59.68,58.96,-60.76368359999991,0.0,-60.76368359999991,entry_long_2022-05-10 13:55:00,exit_TimeExitRule_2022-05-10 15:40:00,Time threshold reached,False,,6913,6933,20
2022-05-11 13:40:00,2022-05-11 15:40:00,short,50.917327,57.400000000000006,57.16,12.220158480000464,0.0,12.220158480000464,entry_short_2022-05-11 13:35:00,exit_TimeExitRule_2022-05-11 15:40:00,Time threshold reached,False,,6987,7011,24
2022-05-12 10:10:00,2022-05-12 13:35:00,long,33.336492,57.45,57.97,17.334975839999867,0.0,17.334975839999867,entry_long_2022-05-12 10:05:00,exit_VWAPExitRule_2022-05-12 13:35:00,VWAP Cross Down,False,,7023,7064,41
2022-05-12 13:45:00,2022-05-12 13:45:00,long,72.162796,57.86499999999999,57.864999999999995,5.127475048993801e-13,0.0,5.127475048993801e-13,entry_long_2022-05-12 13:40:00,exit_VWAPExitRule_2022-05-12 13:45:00,VWAP Cross Down,False,,7066,7066,0
2022-05-12 13:55:00,2022-05-12 13:55:00,long,76.419242,57.67000000000001,57.67,-5.429913727539315e-13,0.0,-5.429913727539315e-13,entry_long_2022-05-12 13:50:00,exit_VWAPExitRule_2022-05-12 13:55:00,VWAP Cross Down,False,,7068,7068,0
2022-05-12 14:05:00,2022-05-12 14:05:00,long,82.100624,57.82,57.82,0.0,0.0,0.0,entry_long_2022-05-12 14:00:00,exit_VWAPExitRule_2022-05-12 14:05:00,VWAP Cross Down,False,,7070,7070,0
2022-05-12 14:15:00,2022-05-12 14:15:00,long,64.330341,57.65,57.65,0.0,0.0,0.0,entry_long_2022-05-12 14:10:00,exit_VWAPExitRule_2022-05-12 14:15:00,VWAP Cross Down,False,,7072,7072,0
2022-05-12 14:25:00,2022-05-12 14:25:00,long,59.46789,57.5,57.5,0.0,0.0,0.0,entry_long_2022-05-12 14:20:00,exit_VWAPExitRule_2022-05-12 14:25:00,VWAP Cross Down,False,,7074,7074,0
2022-05-12 14:35:00,2022-05-12 14:35:00,long,61.426074,57.35,57.35,0.0,0.0,0.0,entry_long_2022-05-12 14:30:00,exit_VWAPExitRule_2022-05-12 14:35:00,VWAP Cross Down,False,,7076,7076,0
2022-05-12 14:55:00,2022-05-12 14:55:00,long,74.347733,57.308,57.30800000000001,5.282724160338148e-13,0.0,5.282724160338148e-13,entry_long_2022-05-12 14:50:00,exit_VWAPExitRule_2022-05-12 14:55:00,VWAP Cross Down,False,,7080,7080,0
2022-05-12 15:05:00,2022-05-12 15:05:00,long,84.158159,57.47,57.47,0.0,0.0,0.0,entry_long_2022-05-12 15:00:00,exit_VWAPExitRule_2022-05-12 15:05:00,VWAP Cross Down,False,,7082,7082,0
2022-05-12 15:15:00,2022-05-12 15:15:00,long,64.866925,57.364999999999995,57.364999999999995,0.0,0.0,0.0,entry_long_2022-05-12 15:10:00,exit_VWAPExitRule_2022-05-12 15:15:00,VWAP Cross Down,False,,7084,7084,0
2022-05-12 15:25:00,2022-05-12 15:25:00,long,54.540424,57.7758,57.7758,0.0,0.0,0.0,entry_long_2022-05-12 15:20:00,exit_VWAPExitRule_2022-05-12 15:25:00,VWAP Cross Down,False,,7086,7086,0
2022-05-12 15:35:00,2022-05-12 15:35:00,long,47.046563,57.56,57.56,0.0,0.0,0.0,entry_long_2022-05-12 15:30:00,exit_VWAPExitRule_2022-05-12 15:35:00,VWAP Cross Down,False,,7088,7088,0
2022-05-17 10:45:00,2022-05-17 11:50:00,short,136.260677,59.17,59.58,-55.86687756999953,0.0,-55.86687756999953,entry_short_2022-05-17 10:40:00,exit_VWAPExitRule_2022-05-17 11:50:00,VWAP Cross Up,False,,7264,7277,13
2022-05-17 12:25:00,2022-05-17 14:30:00,long,34.293288,61.230000000000004,60.51,-24.691167360000204,0.0,-24.691167360000204,entry_long_2022-05-17 12:20:00,exit_VWAPExitRule_2022-05-17 14:30:00,VWAP Cross Down,False,,7284,7309,25
2022-05-17 14:50:00,2022-05-17 15:40:00,long,32.672546,61.0,60.82,-5.88105827999999,0.0,-5.88105827999999,entry_long_2022-05-17 14:45:00,exit_TimeExitRule_2022-05-17 15:40:00,Time threshold reached,False,,7313,7323,10
2022-05-18 13:50:00,2022-05-18 15:40:00,short,91.93151,57.93,58.44,-46.885070099999815,0.0,-46.885070099999815,entry_short_2022-05-18 13:45:00,exit_TimeExitRule_2022-05-18 15:40:00,Time threshold reached,False,,7379,7401,22
2022-05-19 11:35:00,2022-05-19 15:20:00,long,42.107007,59.08,58.88,-8.421401399999821,0.0,-8.421401399999821,entry_long_2022-05-19 11:30:00,exit_VWAPExitRule_2022-05-19 15:20:00,VWAP Cross Down,False,,7430,7475,45
2022-05-20 11:15:00,2022-05-20 15:35:00,short,89.519324,58.3,58.07,20.58944451999972,0.0,20.58944451999972,entry_short_2022-05-20 11:10:00,exit_VWAPExitRule_2022-05-20 15:35:00,VWAP Cross Up,False,,7504,7556,52
2022-05-24 10:10:00,2022-05-24 11:45:00,short,90.187908,57.54,57.39,13.52818619999987,0.0,13.52818619999987,entry_short_2022-05-24 10:05:00,exit_VWAPExitRule_2022-05-24 11:45:00,VWAP Cross Up,False,,7647,7666,19
2022-05-24 11:55:00,2022-05-24 12:00:00,short,55.511657,57.44,57.44,-0.0,0.0,-0.0,entry_short_2022-05-24 11:50:00,exit_VWAPExitRule_2022-05-24 12:00:00,VWAP Cross Up,False,,7668,7669,1
2022-05-24 12:30:00,2022-05-24 15:35:00,short,54.222129,57.45,57.1,18.97774515000008,0.0,18.97774515000008,entry_short_2022-05-24 12:25:00,exit_VWAPExitRule_2022-05-24 15:35:00,VWAP Cross Up,False,,7675,7712,37
